Sample,Isotope,Evaluation,g / g Uinit
87-63,U-234,ENDF VII.0,1.41E-04
87-63,U-235,ENDF VII.0,4.15E-03
87-63,U-236,ENDF VII.0,4.27E-03
87-63,U-238,ENDF VII.0,9.35E-01
87-63,Pu-238,ENDF VII.0,2.76E-04
87-63,Pu-239,ENDF VII.0,5.24E-03
87-63,Pu-240,ENDF VII.0,2.96E-03
87-63,Pu-241,ENDF VII.0,1.16E-03
87-63,Pu-242,ENDF VII.0,8.83E-04
87-63,Np-237,ENDF VII.0,5.46E-04
87-63,Am-241,ENDF VII.0,4.03E-04
87-63,Cs-133,ENDF VII.0,1.42E-03
87-63,Cs-134,ENDF VII.0,2.90E-05
87-63,Cs-135,ENDF VII.0,5.04E-04
87-63,Cs-137,ENDF VII.0,1.38E-03
87-63,Nd-143,ENDF VII.0,8.79E-04
87-63,Nd-144,ENDF VII.0,1.81E-03
87-63,Nd-145,ENDF VII.0,8.18E-04
87-63,Nd-146,ENDF VII.0,9.46E-04
87-63,Nd-148,ENDF VII.0,4.86E-04
87-63,Nd-150,ENDF VII.0,2.42E-04
87-63,Sm-147,ENDF VII.0,2.96E-04
87-63,Sm-148,ENDF VII.0,2.10E-04
87-63,Sm-149,ENDF VII.0,2.47E-06
87-63,Sm-150,ENDF VII.0,3.70E-04
87-63,Sm-151,ENDF VII.0,1.02E-05
87-63,Sm-152,ENDF VII.0,1.29E-04
87-63,Sm-154,ENDF VII.0,5.33E-05
87-63,Eu-151,ENDF VII.0,1.06E-06
87-63,Eu-152,ENDF VII.0,5.82E-09
87-63,Eu-153,ENDF VII.0,1.60E-04
87-63,Eu-154,ENDF VII.0,1.20E-05
87-63,Eu-155,ENDF VII.0,1.82E-06
87-63,Gd-154,ENDF VII.0,2.69E-05
87-63,Gd-155,ENDF VII.0,9.97E-06
87-63,Gd-156,ENDF VII.0,1.58E-04
87-63,Gd-158,ENDF VII.0,2.87E-05
87-63,Gd-160,ENDF VII.0,1.71E-06
87-63,Tc-99,ENDF VII.0,1.01E-03
87-63,Sr-90,ENDF VII.0,5.55E-04
87-63,U-234,ENDF VII.1,1.43E-04
87-63,U-235,ENDF VII.1,4.10E-03
87-63,U-236,ENDF VII.1,4.27E-03
87-63,U-238,ENDF VII.1,9.35E-01
87-63,Pu-238,ENDF VII.1,3.13E-04
87-63,Pu-239,ENDF VII.1,5.13E-03
87-63,Pu-240,ENDF VII.1,2.90E-03
87-63,Pu-241,ENDF VII.1,1.15E-03
87-63,Pu-242,ENDF VII.1,9.14E-04
87-63,Np-237,ENDF VII.1,5.39E-04
87-63,Am-241,ENDF VII.1,3.91E-04
87-63,Cs-133,ENDF VII.1,1.43E-03
87-63,Cs-134,ENDF VII.1,2.84E-05
87-63,Cs-135,ENDF VII.1,5.02E-04
87-63,Cs-137,ENDF VII.1,1.38E-03
87-63,Nd-143,ENDF VII.1,8.76E-04
87-63,Nd-144,ENDF VII.1,1.82E-03
87-63,Nd-145,ENDF VII.1,8.33E-04
87-63,Nd-146,ENDF VII.1,9.32E-04
87-63,Nd-148,ENDF VII.1,4.86E-04
87-63,Nd-150,ENDF VII.1,2.42E-04
87-63,Sm-147,ENDF VII.1,2.94E-04
87-63,Sm-148,ENDF VII.1,2.11E-04
87-63,Sm-149,ENDF VII.1,2.45E-06
87-63,Sm-150,ENDF VII.1,3.71E-04
87-63,Sm-151,ENDF VII.1,1.01E-05
87-63,Sm-152,ENDF VII.1,1.29E-04
87-63,Sm-154,ENDF VII.1,5.33E-05
87-63,Eu-151,ENDF VII.1,1.06E-06
87-63,Eu-152,ENDF VII.1,5.71E-09
87-63,Eu-153,ENDF VII.1,1.54E-04
87-63,Eu-154,ENDF VII.1,1.22E-05
87-63,Eu-155,ENDF VII.1,1.86E-06
87-63,Gd-154,ENDF VII.1,2.75E-05
87-63,Gd-155,ENDF VII.1,1.02E-05
87-63,Gd-156,ENDF VII.1,1.63E-04
87-63,Gd-158,ENDF VII.1,2.90E-05
87-63,Gd-160,ENDF VII.1,1.71E-06
87-63,Tc-99,ENDF VII.1,1.03E-03
87-63,Sr-90,ENDF VII.1,5.55E-04
87-63,U-234,ENDF VII.0 + mod-Wright,1.41E-04
87-63,U-235,ENDF VII.0 + mod-Wright,4.15E-03
87-63,U-236,ENDF VII.0 + mod-Wright,4.27E-03
87-63,U-238,ENDF VII.0 + mod-Wright,9.35E-01
87-63,Pu-238,ENDF VII.0 + mod-Wright,2.76E-04
87-63,Pu-239,ENDF VII.0 + mod-Wright,5.24E-03
87-63,Pu-240,ENDF VII.0 + mod-Wright,2.96E-03
87-63,Pu-241,ENDF VII.0 + mod-Wright,1.16E-03
87-63,Pu-242,ENDF VII.0 + mod-Wright,8.83E-04
87-63,Np-237,ENDF VII.0 + mod-Wright,5.46E-04
87-63,Am-241,ENDF VII.0 + mod-Wright,4.03E-04
87-63,Cs-133,ENDF VII.0 + mod-Wright,1.42E-03
87-63,Cs-134,ENDF VII.0 + mod-Wright,2.90E-05
87-63,Cs-135,ENDF VII.0 + mod-Wright,5.04E-04
87-63,Cs-137,ENDF VII.0 + mod-Wright,1.38E-03
87-63,Nd-143,ENDF VII.0 + mod-Wright,8.79E-04
87-63,Nd-144,ENDF VII.0 + mod-Wright,1.81E-03
87-63,Nd-145,ENDF VII.0 + mod-Wright,8.18E-04
87-63,Nd-146,ENDF VII.0 + mod-Wright,9.46E-04
87-63,Nd-148,ENDF VII.0 + mod-Wright,4.86E-04
87-63,Nd-150,ENDF VII.0 + mod-Wright,2.42E-04
87-63,Sm-147,ENDF VII.0 + mod-Wright,2.96E-04
87-63,Sm-148,ENDF VII.0 + mod-Wright,2.10E-04
87-63,Sm-149,ENDF VII.0 + mod-Wright,2.47E-06
87-63,Sm-150,ENDF VII.0 + mod-Wright,3.70E-04
87-63,Sm-151,ENDF VII.0 + mod-Wright,1.02E-05
87-63,Sm-152,ENDF VII.0 + mod-Wright,1.29E-04
87-63,Sm-154,ENDF VII.0 + mod-Wright,5.33E-05
87-63,Eu-151,ENDF VII.0 + mod-Wright,1.06E-06
87-63,Eu-152,ENDF VII.0 + mod-Wright,5.83E-09
87-63,Eu-153,ENDF VII.0 + mod-Wright,1.60E-04
87-63,Eu-154,ENDF VII.0 + mod-Wright,1.03E-05
87-63,Eu-155,ENDF VII.0 + mod-Wright,1.86E-06
87-63,Gd-154,ENDF VII.0 + mod-Wright,2.33E-05
87-63,Gd-155,ENDF VII.0 + mod-Wright,1.02E-05
87-63,Gd-156,ENDF VII.0 + mod-Wright,1.63E-04
87-63,Gd-158,ENDF VII.0 + mod-Wright,2.90E-05
87-63,Gd-160,ENDF VII.0 + mod-Wright,1.71E-06
87-63,Tc-99,ENDF VII.0 + mod-Wright,1.01E-03
87-63,Sr-90,ENDF VII.0 + mod-Wright,5.55E-04
87-63,U-234,ENDF VII.0 + mod-Mughabghab,1.41E-04
87-63,U-235,ENDF VII.0 + mod-Mughabghab,4.15E-03
87-63,U-236,ENDF VII.0 + mod-Mughabghab,4.27E-03
87-63,U-238,ENDF VII.0 + mod-Mughabghab,9.35E-01
87-63,Pu-238,ENDF VII.0 + mod-Mughabghab,2.76E-04
87-63,Pu-239,ENDF VII.0 + mod-Mughabghab,5.24E-03
87-63,Pu-240,ENDF VII.0 + mod-Mughabghab,2.96E-03
87-63,Pu-241,ENDF VII.0 + mod-Mughabghab,1.16E-03
87-63,Pu-242,ENDF VII.0 + mod-Mughabghab,8.83E-04
87-63,Np-237,ENDF VII.0 + mod-Mughabghab,5.46E-04
87-63,Am-241,ENDF VII.0 + mod-Mughabghab,4.03E-04
87-63,Cs-133,ENDF VII.0 + mod-Mughabghab,1.42E-03
87-63,Cs-134,ENDF VII.0 + mod-Mughabghab,2.90E-05
87-63,Cs-135,ENDF VII.0 + mod-Mughabghab,5.04E-04
87-63,Cs-137,ENDF VII.0 + mod-Mughabghab,1.38E-03
87-63,Nd-143,ENDF VII.0 + mod-Mughabghab,8.79E-04
87-63,Nd-144,ENDF VII.0 + mod-Mughabghab,1.81E-03
87-63,Nd-145,ENDF VII.0 + mod-Mughabghab,8.18E-04
87-63,Nd-146,ENDF VII.0 + mod-Mughabghab,9.46E-04
87-63,Nd-148,ENDF VII.0 + mod-Mughabghab,4.86E-04
87-63,Nd-150,ENDF VII.0 + mod-Mughabghab,2.42E-04
87-63,Sm-147,ENDF VII.0 + mod-Mughabghab,2.96E-04
87-63,Sm-148,ENDF VII.0 + mod-Mughabghab,2.10E-04
87-63,Sm-149,ENDF VII.0 + mod-Mughabghab,2.47E-06
87-63,Sm-150,ENDF VII.0 + mod-Mughabghab,3.70E-04
87-63,Sm-151,ENDF VII.0 + mod-Mughabghab,1.02E-05
87-63,Sm-152,ENDF VII.0 + mod-Mughabghab,1.29E-04
87-63,Sm-154,ENDF VII.0 + mod-Mughabghab,5.33E-05
87-63,Eu-151,ENDF VII.0 + mod-Mughabghab,1.06E-06
87-63,Eu-152,ENDF VII.0 + mod-Mughabghab,5.82E-09
87-63,Eu-153,ENDF VII.0 + mod-Mughabghab,1.60E-04
87-63,Eu-154,ENDF VII.0 + mod-Mughabghab,1.12E-05
87-63,Eu-155,ENDF VII.0 + mod-Mughabghab,1.84E-06
87-63,Gd-154,ENDF VII.0 + mod-Mughabghab,2.53E-05
87-63,Gd-155,ENDF VII.0 + mod-Mughabghab,1.01E-05
87-63,Gd-156,ENDF VII.0 + mod-Mughabghab,1.60E-04
87-63,Gd-158,ENDF VII.0 + mod-Mughabghab,2.88E-05
87-63,Gd-160,ENDF VII.0 + mod-Mughabghab,1.71E-06
87-63,Tc-99,ENDF VII.0 + mod-Mughabghab,1.01E-03
87-63,Sr-90,ENDF VII.0 + mod-Mughabghab,5.55E-04
87-63,U-234,ENDF VII.1 + mod-Mughabghab,1.43E-04
87-63,U-235,ENDF VII.1 + mod-Mughabghab,4.10E-03
87-63,U-236,ENDF VII.1 + mod-Mughabghab,4.27E-03
87-63,U-238,ENDF VII.1 + mod-Mughabghab,9.35E-01
87-63,Pu-238,ENDF VII.1 + mod-Mughabghab,3.13E-04
87-63,Pu-239,ENDF VII.1 + mod-Mughabghab,5.13E-03
87-63,Pu-240,ENDF VII.1 + mod-Mughabghab,2.90E-03
87-63,Pu-241,ENDF VII.1 + mod-Mughabghab,1.15E-03
87-63,Pu-242,ENDF VII.1 + mod-Mughabghab,9.14E-04
87-63,Np-237,ENDF VII.1 + mod-Mughabghab,5.39E-04
87-63,Am-241,ENDF VII.1 + mod-Mughabghab,3.91E-04
87-63,Cs-133,ENDF VII.1 + mod-Mughabghab,1.43E-03
87-63,Cs-134,ENDF VII.1 + mod-Mughabghab,2.84E-05
87-63,Cs-135,ENDF VII.1 + mod-Mughabghab,5.02E-04
87-63,Cs-137,ENDF VII.1 + mod-Mughabghab,1.38E-03
87-63,Nd-143,ENDF VII.1 + mod-Mughabghab,8.76E-04
87-63,Nd-144,ENDF VII.1 + mod-Mughabghab,1.82E-03
87-63,Nd-145,ENDF VII.1 + mod-Mughabghab,8.33E-04
87-63,Nd-146,ENDF VII.1 + mod-Mughabghab,9.32E-04
87-63,Nd-148,ENDF VII.1 + mod-Mughabghab,4.86E-04
87-63,Nd-150,ENDF VII.1 + mod-Mughabghab,2.42E-04
87-63,Sm-147,ENDF VII.1 + mod-Mughabghab,2.94E-04
87-63,Sm-148,ENDF VII.1 + mod-Mughabghab,2.11E-04
87-63,Sm-149,ENDF VII.1 + mod-Mughabghab,2.46E-06
87-63,Sm-150,ENDF VII.1 + mod-Mughabghab,3.71E-04
87-63,Sm-151,ENDF VII.1 + mod-Mughabghab,1.01E-05
87-63,Sm-152,ENDF VII.1 + mod-Mughabghab,1.29E-04
87-63,Sm-154,ENDF VII.1 + mod-Mughabghab,5.33E-05
87-63,Eu-151,ENDF VII.1 + mod-Mughabghab,1.06E-06
87-63,Eu-152,ENDF VII.1 + mod-Mughabghab,5.71E-09
87-63,Eu-153,ENDF VII.1 + mod-Mughabghab,1.54E-04
87-63,Eu-154,ENDF VII.1 + mod-Mughabghab,1.15E-05
87-63,Eu-155,ENDF VII.1 + mod-Mughabghab,1.88E-06
87-63,Gd-154,ENDF VII.1 + mod-Mughabghab,2.59E-05
87-63,Gd-155,ENDF VII.1 + mod-Mughabghab,1.03E-05
87-63,Gd-156,ENDF VII.1 + mod-Mughabghab,1.65E-04
87-63,Gd-158,ENDF VII.1 + mod-Mughabghab,2.91E-05
87-63,Gd-160,ENDF VII.1 + mod-Mughabghab,1.71E-06
87-63,Tc-99,ENDF VII.1 + mod-Mughabghab,1.03E-03
87-63,Sr-90,ENDF VII.1 + mod-Mughabghab,5.55E-04
87-63,U-234,JEFF-3.2,1.43E-04
87-63,U-235,JEFF-3.2,4.10E-03
87-63,U-236,JEFF-3.2,4.27E-03
87-63,U-238,JEFF-3.2,9.35E-01
87-63,Pu-238,JEFF-3.2,3.13E-04
87-63,Pu-239,JEFF-3.2,5.13E-03
87-63,Pu-240,JEFF-3.2,2.90E-03
87-63,Pu-241,JEFF-3.2,1.15E-03
87-63,Pu-242,JEFF-3.2,9.14E-04
87-63,Np-237,JEFF-3.2,5.39E-04
87-63,Am-241,JEFF-3.2,3.91E-04
87-63,Cs-133,JEFF-3.2,1.43E-03
87-63,Cs-134,JEFF-3.2,2.84E-05
87-63,Cs-135,JEFF-3.2,5.02E-04
87-63,Cs-137,JEFF-3.2,1.38E-03
87-63,Nd-143,JEFF-3.2,8.76E-04
87-63,Nd-144,JEFF-3.2,1.82E-03
87-63,Nd-145,JEFF-3.2,8.33E-04
87-63,Nd-146,JEFF-3.2,9.32E-04
87-63,Nd-148,JEFF-3.2,4.86E-04
87-63,Nd-150,JEFF-3.2,2.42E-04
87-63,Sm-147,JEFF-3.2,2.94E-04
87-63,Sm-148,JEFF-3.2,2.11E-04
87-63,Sm-149,JEFF-3.2,2.45E-06
87-63,Sm-150,JEFF-3.2,3.71E-04
87-63,Sm-151,JEFF-3.2,1.01E-05
87-63,Sm-152,JEFF-3.2,1.29E-04
87-63,Sm-154,JEFF-3.2,5.33E-05
87-63,Eu-151,JEFF-3.2,1.06E-06
87-63,Eu-152,JEFF-3.2,5.71E-09
87-63,Eu-153,JEFF-3.2,1.54E-04
87-63,Eu-154,JEFF-3.2,1.22E-05
87-63,Eu-155,JEFF-3.2,1.86E-06
87-63,Gd-154,JEFF-3.2,2.74E-05
87-63,Gd-155,JEFF-3.2,1.02E-05
87-63,Gd-156,JEFF-3.2,1.63E-04
87-63,Gd-158,JEFF-3.2,2.90E-05
87-63,Gd-160,JEFF-3.2,1.71E-06
87-63,Tc-99,JEFF-3.2,1.03E-03
87-63,Sr-90,JEFF-3.2,5.55E-04
87-63,U-234,JEFF-3.2 + mod-Mughabghab,1.43E-04
87-63,U-235,JEFF-3.2 + mod-Mughabghab,4.10E-03
87-63,U-236,JEFF-3.2 + mod-Mughabghab,4.27E-03
87-63,U-238,JEFF-3.2 + mod-Mughabghab,9.35E-01
87-63,Pu-238,JEFF-3.2 + mod-Mughabghab,3.13E-04
87-63,Pu-239,JEFF-3.2 + mod-Mughabghab,5.13E-03
87-63,Pu-240,JEFF-3.2 + mod-Mughabghab,2.90E-03
87-63,Pu-241,JEFF-3.2 + mod-Mughabghab,1.15E-03
87-63,Pu-242,JEFF-3.2 + mod-Mughabghab,9.14E-04
87-63,Np-237,JEFF-3.2 + mod-Mughabghab,5.39E-04
87-63,Am-241,JEFF-3.2 + mod-Mughabghab,3.91E-04
87-63,Cs-133,JEFF-3.2 + mod-Mughabghab,1.43E-03
87-63,Cs-134,JEFF-3.2 + mod-Mughabghab,2.84E-05
87-63,Cs-135,JEFF-3.2 + mod-Mughabghab,5.02E-04
87-63,Cs-137,JEFF-3.2 + mod-Mughabghab,1.38E-03
87-63,Nd-143,JEFF-3.2 + mod-Mughabghab,8.76E-04
87-63,Nd-144,JEFF-3.2 + mod-Mughabghab,1.82E-03
87-63,Nd-145,JEFF-3.2 + mod-Mughabghab,8.33E-04
87-63,Nd-146,JEFF-3.2 + mod-Mughabghab,9.32E-04
87-63,Nd-148,JEFF-3.2 + mod-Mughabghab,4.86E-04
87-63,Nd-150,JEFF-3.2 + mod-Mughabghab,2.42E-04
87-63,Sm-147,JEFF-3.2 + mod-Mughabghab,2.94E-04
87-63,Sm-148,JEFF-3.2 + mod-Mughabghab,2.11E-04
87-63,Sm-149,JEFF-3.2 + mod-Mughabghab,2.46E-06
87-63,Sm-150,JEFF-3.2 + mod-Mughabghab,3.71E-04
87-63,Sm-151,JEFF-3.2 + mod-Mughabghab,1.01E-05
87-63,Sm-152,JEFF-3.2 + mod-Mughabghab,1.29E-04
87-63,Sm-154,JEFF-3.2 + mod-Mughabghab,5.33E-05
87-63,Eu-151,JEFF-3.2 + mod-Mughabghab,1.06E-06
87-63,Eu-152,JEFF-3.2 + mod-Mughabghab,5.71E-09
87-63,Eu-153,JEFF-3.2 + mod-Mughabghab,1.54E-04
87-63,Eu-154,JEFF-3.2 + mod-Mughabghab,1.14E-05
87-63,Eu-155,JEFF-3.2 + mod-Mughabghab,1.88E-06
87-63,Gd-154,JEFF-3.2 + mod-Mughabghab,2.58E-05
87-63,Gd-155,JEFF-3.2 + mod-Mughabghab,1.03E-05
87-63,Gd-156,JEFF-3.2 + mod-Mughabghab,1.65E-04
87-63,Gd-158,JEFF-3.2 + mod-Mughabghab,2.91E-05
87-63,Gd-160,JEFF-3.2 + mod-Mughabghab,1.71E-06
87-63,Tc-99,JEFF-3.2 + mod-Mughabghab,1.03E-03
87-63,Sr-90,JEFF-3.2 + mod-Mughabghab,5.55E-04
87-72,U-234,ENDF VII.0,1.57E-04
87-72,U-235,ENDF VII.0,5.90E-03
87-72,U-236,ENDF VII.0,4.09E-03
87-72,U-238,ENDF VII.0,9.42E-01
87-72,Pu-238,ENDF VII.0,1.93E-04
87-72,Pu-239,ENDF VII.0,5.10E-03
87-72,Pu-240,ENDF VII.0,2.58E-03
87-72,Pu-241,ENDF VII.0,9.96E-04
87-72,Pu-242,ENDF VII.0,6.15E-04
87-72,Np-237,ENDF VII.0,4.50E-04
87-72,Am-241,ENDF VII.0,3.55E-04
87-72,Cs-133,ENDF VII.0,1.24E-03
87-72,Cs-134,ENDF VII.0,2.05E-05
87-72,Cs-135,ENDF VII.0,4.69E-04
87-72,Cs-137,ENDF VII.0,1.16E-03
87-72,Nd-143,ENDF VII.0,8.14E-04
87-72,Nd-144,ENDF VII.0,1.49E-03
87-72,Nd-145,ENDF VII.0,7.20E-04
87-72,Nd-146,ENDF VII.0,7.76E-04
87-72,Nd-148,ENDF VII.0,4.07E-04
87-72,Nd-150,ENDF VII.0,1.99E-04
87-72,Sm-147,ENDF VII.0,2.82E-04
87-72,Sm-148,ENDF VII.0,1.59E-04
87-72,Sm-149,ENDF VII.0,2.25E-06
87-72,Sm-150,ENDF VII.0,3.04E-04
87-72,Sm-151,ENDF VII.0,9.12E-06
87-72,Sm-152,ENDF VII.0,1.17E-04
87-72,Sm-154,ENDF VII.0,4.14E-05
87-72,Eu-151,ENDF VII.0,9.58E-07
87-72,Eu-152,ENDF VII.0,6.46E-09
87-72,Eu-153,ENDF VII.0,1.31E-04
87-72,Eu-154,ENDF VII.0,9.23E-06
87-72,Eu-155,ENDF VII.0,1.42E-06
87-72,Gd-154,ENDF VII.0,2.07E-05
87-72,Gd-155,ENDF VII.0,7.78E-06
87-72,Gd-156,ENDF VII.0,1.02E-04
87-72,Gd-158,ENDF VII.0,1.96E-05
87-72,Gd-160,ENDF VII.0,1.26E-06
87-72,Tc-99,ENDF VII.0,8.76E-04
87-72,Sr-90,ENDF VII.0,4.91E-04
87-72,U-234,ENDF VII.1,1.57E-04
87-72,U-235,ENDF VII.1,5.85E-03
87-72,U-236,ENDF VII.1,4.10E-03
87-72,U-238,ENDF VII.1,9.42E-01
87-72,Pu-238,ENDF VII.1,2.17E-04
87-72,Pu-239,ENDF VII.1,5.00E-03
87-72,Pu-240,ENDF VII.1,2.54E-03
87-72,Pu-241,ENDF VII.1,9.89E-04
87-72,Pu-242,ENDF VII.1,6.35E-04
87-72,Np-237,ENDF VII.1,4.44E-04
87-72,Am-241,ENDF VII.1,3.46E-04
87-72,Cs-133,ENDF VII.1,1.24E-03
87-72,Cs-134,ENDF VII.1,2.00E-05
87-72,Cs-135,ENDF VII.1,4.68E-04
87-72,Cs-137,ENDF VII.1,1.16E-03
87-72,Nd-143,ENDF VII.1,8.12E-04
87-72,Nd-144,ENDF VII.1,1.49E-03
87-72,Nd-145,ENDF VII.1,7.30E-04
87-72,Nd-146,ENDF VII.1,7.66E-04
87-72,Nd-148,ENDF VII.1,4.07E-04
87-72,Nd-150,ENDF VII.1,1.99E-04
87-72,Sm-147,ENDF VII.1,2.81E-04
87-72,Sm-148,ENDF VII.1,1.60E-04
87-72,Sm-149,ENDF VII.1,2.24E-06
87-72,Sm-150,ENDF VII.1,3.05E-04
87-72,Sm-151,ENDF VII.1,9.08E-06
87-72,Sm-152,ENDF VII.1,1.17E-04
87-72,Sm-154,ENDF VII.1,4.14E-05
87-72,Eu-151,ENDF VII.1,9.54E-07
87-72,Eu-152,ENDF VII.1,6.37E-09
87-72,Eu-153,ENDF VII.1,1.27E-04
87-72,Eu-154,ENDF VII.1,9.48E-06
87-72,Eu-155,ENDF VII.1,1.46E-06
87-72,Gd-154,ENDF VII.1,2.12E-05
87-72,Gd-155,ENDF VII.1,7.99E-06
87-72,Gd-156,ENDF VII.1,1.05E-04
87-72,Gd-158,ENDF VII.1,1.97E-05
87-72,Gd-160,ENDF VII.1,1.26E-06
87-72,Tc-99,ENDF VII.1,8.86E-04
87-72,Sr-90,ENDF VII.1,4.91E-04
87-72,U-234,ENDF VII.0 + mod-Wright,1.57E-04
87-72,U-235,ENDF VII.0 + mod-Wright,5.90E-03
87-72,U-236,ENDF VII.0 + mod-Wright,4.09E-03
87-72,U-238,ENDF VII.0 + mod-Wright,9.42E-01
87-72,Pu-238,ENDF VII.0 + mod-Wright,1.93E-04
87-72,Pu-239,ENDF VII.0 + mod-Wright,5.10E-03
87-72,Pu-240,ENDF VII.0 + mod-Wright,2.58E-03
87-72,Pu-241,ENDF VII.0 + mod-Wright,9.96E-04
87-72,Pu-242,ENDF VII.0 + mod-Wright,6.15E-04
87-72,Np-237,ENDF VII.0 + mod-Wright,4.50E-04
87-72,Am-241,ENDF VII.0 + mod-Wright,3.55E-04
87-72,Cs-133,ENDF VII.0 + mod-Wright,1.24E-03
87-72,Cs-134,ENDF VII.0 + mod-Wright,2.05E-05
87-72,Cs-135,ENDF VII.0 + mod-Wright,4.69E-04
87-72,Cs-137,ENDF VII.0 + mod-Wright,1.16E-03
87-72,Nd-143,ENDF VII.0 + mod-Wright,8.14E-04
87-72,Nd-144,ENDF VII.0 + mod-Wright,1.49E-03
87-72,Nd-145,ENDF VII.0 + mod-Wright,7.20E-04
87-72,Nd-146,ENDF VII.0 + mod-Wright,7.76E-04
87-72,Nd-148,ENDF VII.0 + mod-Wright,4.07E-04
87-72,Nd-150,ENDF VII.0 + mod-Wright,1.99E-04
87-72,Sm-147,ENDF VII.0 + mod-Wright,2.82E-04
87-72,Sm-148,ENDF VII.0 + mod-Wright,1.59E-04
87-72,Sm-149,ENDF VII.0 + mod-Wright,2.25E-06
87-72,Sm-150,ENDF VII.0 + mod-Wright,3.04E-04
87-72,Sm-151,ENDF VII.0 + mod-Wright,9.13E-06
87-72,Sm-152,ENDF VII.0 + mod-Wright,1.17E-04
87-72,Sm-154,ENDF VII.0 + mod-Wright,4.14E-05
87-72,Eu-151,ENDF VII.0 + mod-Wright,9.59E-07
87-72,Eu-152,ENDF VII.0 + mod-Wright,6.47E-09
87-72,Eu-153,ENDF VII.0 + mod-Wright,1.31E-04
87-72,Eu-154,ENDF VII.0 + mod-Wright,8.02E-06
87-72,Eu-155,ENDF VII.0 + mod-Wright,1.46E-06
87-72,Gd-154,ENDF VII.0 + mod-Wright,1.80E-05
87-72,Gd-155,ENDF VII.0 + mod-Wright,8.03E-06
87-72,Gd-156,ENDF VII.0 + mod-Wright,1.05E-04
87-72,Gd-158,ENDF VII.0 + mod-Wright,1.97E-05
87-72,Gd-160,ENDF VII.0 + mod-Wright,1.26E-06
87-72,Tc-99,ENDF VII.0 + mod-Wright,8.76E-04
87-72,Sr-90,ENDF VII.0 + mod-Wright,4.91E-04
87-72,U-234,ENDF VII.0 + mod-Mughabghab,1.57E-04
87-72,U-235,ENDF VII.0 + mod-Mughabghab,5.90E-03
87-72,U-236,ENDF VII.0 + mod-Mughabghab,4.09E-03
87-72,U-238,ENDF VII.0 + mod-Mughabghab,9.42E-01
87-72,Pu-238,ENDF VII.0 + mod-Mughabghab,1.93E-04
87-72,Pu-239,ENDF VII.0 + mod-Mughabghab,5.10E-03
87-72,Pu-240,ENDF VII.0 + mod-Mughabghab,2.58E-03
87-72,Pu-241,ENDF VII.0 + mod-Mughabghab,9.96E-04
87-72,Pu-242,ENDF VII.0 + mod-Mughabghab,6.15E-04
87-72,Np-237,ENDF VII.0 + mod-Mughabghab,4.50E-04
87-72,Am-241,ENDF VII.0 + mod-Mughabghab,3.55E-04
87-72,Cs-133,ENDF VII.0 + mod-Mughabghab,1.24E-03
87-72,Cs-134,ENDF VII.0 + mod-Mughabghab,2.05E-05
87-72,Cs-135,ENDF VII.0 + mod-Mughabghab,4.69E-04
87-72,Cs-137,ENDF VII.0 + mod-Mughabghab,1.16E-03
87-72,Nd-143,ENDF VII.0 + mod-Mughabghab,8.14E-04
87-72,Nd-144,ENDF VII.0 + mod-Mughabghab,1.49E-03
87-72,Nd-145,ENDF VII.0 + mod-Mughabghab,7.20E-04
87-72,Nd-146,ENDF VII.0 + mod-Mughabghab,7.76E-04
87-72,Nd-148,ENDF VII.0 + mod-Mughabghab,4.07E-04
87-72,Nd-150,ENDF VII.0 + mod-Mughabghab,1.99E-04
87-72,Sm-147,ENDF VII.0 + mod-Mughabghab,2.82E-04
87-72,Sm-148,ENDF VII.0 + mod-Mughabghab,1.59E-04
87-72,Sm-149,ENDF VII.0 + mod-Mughabghab,2.25E-06
87-72,Sm-150,ENDF VII.0 + mod-Mughabghab,3.04E-04
87-72,Sm-151,ENDF VII.0 + mod-Mughabghab,9.12E-06
