Sample,Isotope,Evaluation,g / g Uinit
87-72,Sm-152,ENDF VII.0 + mod-Mughabghab,1.17E-04
87-72,Sm-154,ENDF VII.0 + mod-Mughabghab,4.14E-05
87-72,Eu-151,ENDF VII.0 + mod-Mughabghab,9.58E-07
87-72,Eu-152,ENDF VII.0 + mod-Mughabghab,6.46E-09
87-72,Eu-153,ENDF VII.0 + mod-Mughabghab,1.31E-04
87-72,Eu-154,ENDF VII.0 + mod-Mughabghab,8.69E-06
87-72,Eu-155,ENDF VII.0 + mod-Mughabghab,1.44E-06
87-72,Gd-154,ENDF VII.0 + mod-Mughabghab,1.95E-05
87-72,Gd-155,ENDF VII.0 + mod-Mughabghab,7.90E-06
87-72,Gd-156,ENDF VII.0 + mod-Mughabghab,1.03E-04
87-72,Gd-158,ENDF VII.0 + mod-Mughabghab,1.97E-05
87-72,Gd-160,ENDF VII.0 + mod-Mughabghab,0.00E+00
87-72,Tc-99,ENDF VII.0 + mod-Mughabghab,8.76E-04
87-72,Sr-90,ENDF VII.0 + mod-Mughabghab,4.91E-04
87-72,U-234,ENDF VII.1 + mod-Mughabghab,1.57E-04
87-72,U-235,ENDF VII.1 + mod-Mughabghab,5.86E-03
87-72,U-236,ENDF VII.1 + mod-Mughabghab,4.10E-03
87-72,U-238,ENDF VII.1 + mod-Mughabghab,9.42E-01
87-72,Pu-238,ENDF VII.1 + mod-Mughabghab,2.17E-04
87-72,Pu-239,ENDF VII.1 + mod-Mughabghab,5.01E-03
87-72,Pu-240,ENDF VII.1 + mod-Mughabghab,2.54E-03
87-72,Pu-241,ENDF VII.1 + mod-Mughabghab,9.89E-04
87-72,Pu-242,ENDF VII.1 + mod-Mughabghab,6.35E-04
87-72,Np-237,ENDF VII.1 + mod-Mughabghab,4.44E-04
87-72,Am-241,ENDF VII.1 + mod-Mughabghab,3.46E-04
87-72,Cs-133,ENDF VII.1 + mod-Mughabghab,1.24E-03
87-72,Cs-134,ENDF VII.1 + mod-Mughabghab,2.00E-05
87-72,Cs-135,ENDF VII.1 + mod-Mughabghab,4.68E-04
87-72,Cs-137,ENDF VII.1 + mod-Mughabghab,1.16E-03
87-72,Nd-143,ENDF VII.1 + mod-Mughabghab,8.12E-04
87-72,Nd-144,ENDF VII.1 + mod-Mughabghab,1.49E-03
87-72,Nd-145,ENDF VII.1 + mod-Mughabghab,7.30E-04
87-72,Nd-146,ENDF VII.1 + mod-Mughabghab,7.66E-04
87-72,Nd-148,ENDF VII.1 + mod-Mughabghab,4.07E-04
87-72,Nd-150,ENDF VII.1 + mod-Mughabghab,1.99E-04
87-72,Sm-147,ENDF VII.1 + mod-Mughabghab,2.81E-04
87-72,Sm-148,ENDF VII.1 + mod-Mughabghab,1.60E-04
87-72,Sm-149,ENDF VII.1 + mod-Mughabghab,2.24E-06
87-72,Sm-150,ENDF VII.1 + mod-Mughabghab,3.05E-04
87-72,Sm-151,ENDF VII.1 + mod-Mughabghab,9.09E-06
87-72,Sm-152,ENDF VII.1 + mod-Mughabghab,1.17E-04
87-72,Sm-154,ENDF VII.1 + mod-Mughabghab,4.14E-05
87-72,Eu-151,ENDF VII.1 + mod-Mughabghab,9.54E-07
87-72,Eu-152,ENDF VII.1 + mod-Mughabghab,6.37E-09
87-72,Eu-153,ENDF VII.1 + mod-Mughabghab,1.27E-04
87-72,Eu-154,ENDF VII.1 + mod-Mughabghab,8.93E-06
87-72,Eu-155,ENDF VII.1 + mod-Mughabghab,1.48E-06
87-72,Gd-154,ENDF VII.1 + mod-Mughabghab,2.00E-05
87-72,Gd-155,ENDF VII.1 + mod-Mughabghab,8.10E-06
87-72,Gd-156,ENDF VII.1 + mod-Mughabghab,1.07E-04
87-72,Gd-158,ENDF VII.1 + mod-Mughabghab,1.98E-05
87-72,Gd-160,ENDF VII.1 + mod-Mughabghab,0.00E+00
87-72,Tc-99,ENDF VII.1 + mod-Mughabghab,8.86E-04
87-72,Sr-90,ENDF VII.1 + mod-Mughabghab,4.91E-04
87-72,U-234,JEFF-3.2,1.57E-04
87-72,U-235,JEFF-3.2,5.86E-03
87-72,U-236,JEFF-3.2,4.10E-03
87-72,U-238,JEFF-3.2,9.42E-01
87-72,Pu-238,JEFF-3.2,2.17E-04
87-72,Pu-239,JEFF-3.2,5.00E-03
87-72,Pu-240,JEFF-3.2,2.54E-03
87-72,Pu-241,JEFF-3.2,9.89E-04
87-72,Pu-242,JEFF-3.2,6.35E-04
87-72,Np-237,JEFF-3.2,4.44E-04
87-72,Am-241,JEFF-3.2,3.46E-04
87-72,Cs-133,JEFF-3.2,1.24E-03
87-72,Cs-134,JEFF-3.2,2.00E-05
87-72,Cs-135,JEFF-3.2,4.68E-04
87-72,Cs-137,JEFF-3.2,1.16E-03
87-72,Nd-143,JEFF-3.2,8.12E-04
87-72,Nd-144,JEFF-3.2,1.49E-03
87-72,Nd-145,JEFF-3.2,7.30E-04
87-72,Nd-146,JEFF-3.2,7.66E-04
87-72,Nd-148,JEFF-3.2,4.07E-04
87-72,Nd-150,JEFF-3.2,1.99E-04
87-72,Sm-147,JEFF-3.2,2.81E-04
87-72,Sm-148,JEFF-3.2,1.60E-04
87-72,Sm-149,JEFF-3.2,2.24E-06
87-72,Sm-150,JEFF-3.2,3.05E-04
87-72,Sm-151,JEFF-3.2,9.08E-06
87-72,Sm-152,JEFF-3.2,1.17E-04
87-72,Sm-154,JEFF-3.2,4.14E-05
87-72,Eu-151,JEFF-3.2,9.54E-07
87-72,Eu-152,JEFF-3.2,6.37E-09
87-72,Eu-153,JEFF-3.2,1.27E-04
87-72,Eu-154,JEFF-3.2,9.47E-06
87-72,Eu-155,JEFF-3.2,1.46E-06
87-72,Gd-154,JEFF-3.2,2.12E-05
87-72,Gd-155,JEFF-3.2,7.99E-06
87-72,Gd-156,JEFF-3.2,1.05E-04
87-72,Gd-158,JEFF-3.2,1.97E-05
87-72,Gd-160,JEFF-3.2,0.00E+00
87-72,Tc-99,JEFF-3.2,8.86E-04
87-72,Sr-90,JEFF-3.2,4.91E-04
87-72,U-234,JEFF-3.2 + mod-Mughabghab,1.57E-04
87-72,U-235,JEFF-3.2 + mod-Mughabghab,5.86E-03
87-72,U-236,JEFF-3.2 + mod-Mughabghab,4.10E-03
87-72,U-238,JEFF-3.2 + mod-Mughabghab,9.42E-01
87-72,Pu-238,JEFF-3.2 + mod-Mughabghab,2.17E-04
87-72,Pu-239,JEFF-3.2 + mod-Mughabghab,5.01E-03
87-72,Pu-240,JEFF-3.2 + mod-Mughabghab,2.54E-03
87-72,Pu-241,JEFF-3.2 + mod-Mughabghab,9.89E-04
87-72,Pu-242,JEFF-3.2 + mod-Mughabghab,6.35E-04
87-72,Np-237,JEFF-3.2 + mod-Mughabghab,4.44E-04
87-72,Am-241,JEFF-3.2 + mod-Mughabghab,3.46E-04
87-72,Cs-133,JEFF-3.2 + mod-Mughabghab,1.24E-03
87-72,Cs-134,JEFF-3.2 + mod-Mughabghab,2.00E-05
87-72,Cs-135,JEFF-3.2 + mod-Mughabghab,4.68E-04
87-72,Cs-137,JEFF-3.2 + mod-Mughabghab,1.16E-03
87-72,Nd-143,JEFF-3.2 + mod-Mughabghab,8.12E-04
87-72,Nd-144,JEFF-3.2 + mod-Mughabghab,1.49E-03
87-72,Nd-145,JEFF-3.2 + mod-Mughabghab,7.30E-04
87-72,Nd-146,JEFF-3.2 + mod-Mughabghab,7.66E-04
87-72,Nd-148,JEFF-3.2 + mod-Mughabghab,4.07E-04
87-72,Nd-150,JEFF-3.2 + mod-Mughabghab,1.99E-04
87-72,Sm-147,JEFF-3.2 + mod-Mughabghab,2.81E-04
87-72,Sm-148,JEFF-3.2 + mod-Mughabghab,1.60E-04
87-72,Sm-149,JEFF-3.2 + mod-Mughabghab,2.24E-06
87-72,Sm-150,JEFF-3.2 + mod-Mughabghab,3.05E-04
87-72,Sm-151,JEFF-3.2 + mod-Mughabghab,9.09E-06
87-72,Sm-152,JEFF-3.2 + mod-Mughabghab,1.17E-04
87-72,Sm-154,JEFF-3.2 + mod-Mughabghab,4.14E-05
87-72,Eu-151,JEFF-3.2 + mod-Mughabghab,9.54E-07
87-72,Eu-152,JEFF-3.2 + mod-Mughabghab,6.37E-09
87-72,Eu-153,JEFF-3.2 + mod-Mughabghab,1.27E-04
87-72,Eu-154,JEFF-3.2 + mod-Mughabghab,8.90E-06
87-72,Eu-155,JEFF-3.2 + mod-Mughabghab,1.48E-06
87-72,Gd-154,JEFF-3.2 + mod-Mughabghab,2.00E-05
87-72,Gd-155,JEFF-3.2 + mod-Mughabghab,8.10E-06
87-72,Gd-156,JEFF-3.2 + mod-Mughabghab,1.07E-04
87-72,Gd-158,JEFF-3.2 + mod-Mughabghab,1.98E-05
87-72,Gd-160,JEFF-3.2 + mod-Mughabghab,0.00E+00
87-72,Tc-99,JEFF-3.2 + mod-Mughabghab,8.86E-04
87-72,Sr-90,JEFF-3.2 + mod-Mughabghab,4.91E-04
87-81,U-234,ENDF VII.0,1.81E-04
87-81,U-235,ENDF VII.0,9.59E-03
87-81,U-236,ENDF VII.0,3.62E-03
87-81,U-238,ENDF VII.0,9.50E-01
87-81,Pu-238,ENDF VII.0,1.03E-04
87-81,Pu-239,ENDF VII.0,4.95E-03
87-81,Pu-240,ENDF VII.0,1.97E-03
87-81,Pu-241,ENDF VII.0,7.48E-04
87-81,Pu-242,ENDF VII.0,3.09E-04
87-81,Np-237,ENDF VII.0,3.16E-04
87-81,Am-241,ENDF VII.0,2.74E-04
87-81,Cs-133,ENDF VII.0,9.60E-04
87-81,Cs-134,ENDF VII.0,1.13E-05
87-81,Cs-135,ENDF VII.0,4.27E-04
87-81,Cs-137,ENDF VII.0,8.57E-04
87-81,Nd-143,ENDF VII.0,6.95E-04
87-81,Nd-144,ENDF VII.0,1.05E-03
87-81,Nd-145,ENDF VII.0,5.67E-04
87-81,Nd-146,ENDF VII.0,5.59E-04
87-81,Nd-148,ENDF VII.0,3.01E-04
87-81,Nd-150,ENDF VII.0,1.43E-04
87-81,Sm-147,ENDF VII.0,2.45E-04
87-81,Sm-148,ENDF VII.0,9.79E-05
87-81,Sm-149,ENDF VII.0,2.07E-06
87-81,Sm-150,ENDF VII.0,2.19E-04
87-81,Sm-151,ENDF VII.0,8.41E-06
87-81,Sm-152,ENDF VII.0,9.50E-05
87-81,Sm-154,ENDF VII.0,2.74E-05
87-81,Eu-151,ENDF VII.0,7.96E-07
87-81,Eu-152,ENDF VII.0,9.77E-09
87-81,Eu-153,ENDF VII.0,9.04E-05
87-81,Eu-154,ENDF VII.0,6.32E-06
87-81,Eu-155,ENDF VII.0,1.07E-06
87-81,Gd-154,ENDF VII.0,1.20E-05
87-81,Gd-155,ENDF VII.0,4.66E-06
87-81,Gd-156,ENDF VII.0,4.87E-05
87-81,Gd-158,ENDF VII.0,1.10E-05
87-81,Gd-160,ENDF VII.0,7.61E-07
87-81,Tc-99,ENDF VII.0,6.74E-04
87-81,Sr-90,ENDF VII.0,3.91E-04
87-81,U-234,ENDF VII.1,1.81E-04
87-81,U-235,ENDF VII.1,9.56E-03
87-81,U-236,ENDF VII.1,3.62E-03
87-81,U-238,ENDF VII.1,9.51E-01
87-81,Pu-238,ENDF VII.1,1.13E-04
87-81,Pu-239,ENDF VII.1,4.88E-03
87-81,Pu-240,ENDF VII.1,1.94E-03
87-81,Pu-241,ENDF VII.1,7.46E-04
87-81,Pu-242,ENDF VII.1,3.17E-04
87-81,Np-237,ENDF VII.1,3.12E-04
87-81,Am-241,ENDF VII.1,2.69E-04
87-81,Cs-133,ENDF VII.1,9.63E-04
87-81,Cs-134,ENDF VII.1,1.10E-05
87-81,Cs-135,ENDF VII.1,4.27E-04
87-81,Cs-137,ENDF VII.1,8.57E-04
87-81,Nd-143,ENDF VII.1,6.95E-04
87-81,Nd-144,ENDF VII.1,1.05E-03
87-81,Nd-145,ENDF VII.1,5.73E-04
87-81,Nd-146,ENDF VII.1,5.53E-04
87-81,Nd-148,ENDF VII.1,3.01E-04
87-81,Nd-150,ENDF VII.1,1.43E-04
87-81,Sm-147,ENDF VII.1,2.45E-04
87-81,Sm-148,ENDF VII.1,9.82E-05
87-81,Sm-149,ENDF VII.1,2.06E-06
87-81,Sm-150,ENDF VII.1,2.19E-04
87-81,Sm-151,ENDF VII.1,8.39E-06
87-81,Sm-152,ENDF VII.1,9.48E-05
87-81,Sm-154,ENDF VII.1,2.74E-05
87-81,Eu-151,ENDF VII.1,7.95E-07
87-81,Eu-152,ENDF VII.1,9.69E-09
87-81,Eu-153,ENDF VII.1,8.83E-05
87-81,Eu-154,ENDF VII.1,6.54E-06
87-81,Eu-155,ENDF VII.1,1.10E-06
87-81,Gd-154,ENDF VII.1,1.24E-05
87-81,Gd-155,ENDF VII.1,4.80E-06
87-81,Gd-156,ENDF VII.1,5.01E-05
87-81,Gd-158,ENDF VII.1,1.10E-05
87-81,Gd-160,ENDF VII.1,7.60E-07
87-81,Tc-99,ENDF VII.1,6.80E-04
87-81,Sr-90,ENDF VII.1,3.91E-04
87-81,U-234,ENDF VII.0 + mod-Wright,1.81E-04
87-81,U-235,ENDF VII.0 + mod-Wright,9.59E-03
87-81,U-236,ENDF VII.0 + mod-Wright,3.62E-03
87-81,U-238,ENDF VII.0 + mod-Wright,9.50E-01
87-81,Pu-238,ENDF VII.0 + mod-Wright,1.03E-04
87-81,Pu-239,ENDF VII.0 + mod-Wright,4.95E-03
87-81,Pu-240,ENDF VII.0 + mod-Wright,1.97E-03
87-81,Pu-241,ENDF VII.0 + mod-Wright,7.48E-04
87-81,Pu-242,ENDF VII.0 + mod-Wright,3.09E-04
87-81,Np-237,ENDF VII.0 + mod-Wright,3.16E-04
87-81,Am-241,ENDF VII.0 + mod-Wright,2.74E-04
87-81,Cs-133,ENDF VII.0 + mod-Wright,9.60E-04
87-81,Cs-134,ENDF VII.0 + mod-Wright,1.13E-05
87-81,Cs-135,ENDF VII.0 + mod-Wright,4.27E-04
87-81,Cs-137,ENDF VII.0 + mod-Wright,8.57E-04
87-81,Nd-143,ENDF VII.0 + mod-Wright,6.95E-04
87-81,Nd-144,ENDF VII.0 + mod-Wright,1.05E-03
87-81,Nd-145,ENDF VII.0 + mod-Wright,5.67E-04
87-81,Nd-146,ENDF VII.0 + mod-Wright,5.59E-04
87-81,Nd-148,ENDF VII.0 + mod-Wright,3.01E-04
87-81,Nd-150,ENDF VII.0 + mod-Wright,1.43E-04
87-81,Sm-147,ENDF VII.0 + mod-Wright,2.45E-04
87-81,Sm-148,ENDF VII.0 + mod-Wright,9.79E-05
87-81,Sm-149,ENDF VII.0 + mod-Wright,2.07E-06
87-81,Sm-150,ENDF VII.0 + mod-Wright,2.19E-04
87-81,Sm-151,ENDF VII.0 + mod-Wright,8.41E-06
87-81,Sm-152,ENDF VII.0 + mod-Wright,9.50E-05
87-81,Sm-154,ENDF VII.0 + mod-Wright,2.74E-05
87-81,Eu-151,ENDF VII.0 + mod-Wright,7.96E-07
87-81,Eu-152,ENDF VII.0 + mod-Wright,9.77E-09
87-81,Eu-153,ENDF VII.0 + mod-Wright,9.04E-05
87-81,Eu-154,ENDF VII.0 + mod-Wright,5.60E-06
87-81,Eu-155,ENDF VII.0 + mod-Wright,1.11E-06
87-81,Gd-154,ENDF VII.0 + mod-Wright,1.07E-05
87-81,Gd-155,ENDF VII.0 + mod-Wright,4.87E-06
87-81,Gd-156,ENDF VII.0 + mod-Wright,5.05E-05
87-81,Gd-158,ENDF VII.0 + mod-Wright,1.10E-05
87-81,Gd-160,ENDF VII.0 + mod-Wright,7.61E-07
87-81,Tc-99,ENDF VII.0 + mod-Wright,6.74E-04
87-81,Sr-90,ENDF VII.0 + mod-Wright,3.91E-04
87-81,U-234,ENDF VII.0 + mod-Mughabghab,1.81E-04
87-81,U-235,ENDF VII.0 + mod-Mughabghab,9.59E-03
87-81,U-236,ENDF VII.0 + mod-Mughabghab,3.62E-03
87-81,U-238,ENDF VII.0 + mod-Mughabghab,9.50E-01
87-81,Pu-238,ENDF VII.0 + mod-Mughabghab,1.03E-04
87-81,Pu-239,ENDF VII.0 + mod-Mughabghab,4.95E-03
87-81,Pu-240,ENDF VII.0 + mod-Mughabghab,1.97E-03
87-81,Pu-241,ENDF VII.0 + mod-Mughabghab,7.48E-04
87-81,Pu-242,ENDF VII.0 + mod-Mughabghab,3.09E-04
87-81,Np-237,ENDF VII.0 + mod-Mughabghab,3.16E-04
87-81,Am-241,ENDF VII.0 + mod-Mughabghab,2.74E-04
87-81,Cs-133,ENDF VII.0 + mod-Mughabghab,9.60E-04
87-81,Cs-134,ENDF VII.0 + mod-Mughabghab,1.13E-05
87-81,Cs-135,ENDF VII.0 + mod-Mughabghab,4.27E-04
87-81,Cs-137,ENDF VII.0 + mod-Mughabghab,8.57E-04
87-81,Nd-143,ENDF VII.0 + mod-Mughabghab,6.95E-04
87-81,Nd-144,ENDF VII.0 + mod-Mughabghab,1.05E-03
87-81,Nd-145,ENDF VII.0 + mod-Mughabghab,5.67E-04
87-81,Nd-146,ENDF VII.0 + mod-Mughabghab,5.59E-04
87-81,Nd-148,ENDF VII.0 + mod-Mughabghab,3.01E-04
87-81,Nd-150,ENDF VII.0 + mod-Mughabghab,1.43E-04
87-81,Sm-147,ENDF VII.0 + mod-Mughabghab,2.45E-04
87-81,Sm-148,ENDF VII.0 + mod-Mughabghab,9.79E-05
87-81,Sm-149,ENDF VII.0 + mod-Mughabghab,2.07E-06
87-81,Sm-150,ENDF VII.0 + mod-Mughabghab,2.19E-04
87-81,Sm-151,ENDF VII.0 + mod-Mughabghab,8.41E-06
87-81,Sm-152,ENDF VII.0 + mod-Mughabghab,9.50E-05
87-81,Sm-154,ENDF VII.0 + mod-Mughabghab,2.74E-05
87-81,Eu-151,ENDF VII.0 + mod-Mughabghab,7.96E-07
87-81,Eu-152,ENDF VII.0 + mod-Mughabghab,9.77E-09
87-81,Eu-153,ENDF VII.0 + mod-Mughabghab,9.04E-05
87-81,Eu-154,ENDF VII.0 + mod-Mughabghab,5.99E-06
87-81,Eu-155,ENDF VII.0 + mod-Mughabghab,1.09E-06
87-81,Gd-154,ENDF VII.0 + mod-Mughabghab,1.14E-05
87-81,Gd-155,ENDF VII.0 + mod-Mughabghab,4.75E-06
87-81,Gd-156,ENDF VII.0 + mod-Mughabghab,4.95E-05
87-81,Gd-158,ENDF VII.0 + mod-Mughabghab,1.10E-05
87-81,Gd-160,ENDF VII.0 + mod-Mughabghab,7.61E-07
87-81,Tc-99,ENDF VII.0 + mod-Mughabghab,6.74E-04
87-81,Sr-90,ENDF VII.0 + mod-Mughabghab,3.91E-04
87-81,U-234,ENDF VII.1 + mod-Mughabghab,1.81E-04
87-81,U-235,ENDF VII.1 + mod-Mughabghab,9.56E-03
87-81,U-236,ENDF VII.1 + mod-Mughabghab,3.62E-03
87-81,U-238,ENDF VII.1 + mod-Mughabghab,9.51E-01
87-81,Pu-238,ENDF VII.1 + mod-Mughabghab,1.13E-04
87-81,Pu-239,ENDF VII.1 + mod-Mughabghab,4.88E-03
87-81,Pu-240,ENDF VII.1 + mod-Mughabghab,1.94E-03
87-81,Pu-241,ENDF VII.1 + mod-Mughabghab,7.46E-04
87-81,Pu-242,ENDF VII.1 + mod-Mughabghab,3.17E-04
87-81,Np-237,ENDF VII.1 + mod-Mughabghab,3.12E-04
87-81,Am-241,ENDF VII.1 + mod-Mughabghab,2.69E-04
87-81,Cs-133,ENDF VII.1 + mod-Mughabghab,9.63E-04
87-81,Cs-134,ENDF VII.1 + mod-Mughabghab,1.10E-05
87-81,Cs-135,ENDF VII.1 + mod-Mughabghab,4.27E-04
87-81,Cs-137,ENDF VII.1 + mod-Mughabghab,8.57E-04
87-81,Nd-143,ENDF VII.1 + mod-Mughabghab,6.95E-04
87-81,Nd-144,ENDF VII.1 + mod-Mughabghab,1.05E-03
87-81,Nd-145,ENDF VII.1 + mod-Mughabghab,5.73E-04
87-81,Nd-146,ENDF VII.1 + mod-Mughabghab,5.53E-04
87-81,Nd-148,ENDF VII.1 + mod-Mughabghab,3.01E-04
87-81,Nd-150,ENDF VII.1 + mod-Mughabghab,1.43E-04
87-81,Sm-147,ENDF VII.1 + mod-Mughabghab,2.45E-04
87-81,Sm-148,ENDF VII.1 + mod-Mughabghab,9.82E-05
87-81,Sm-149,ENDF VII.1 + mod-Mughabghab,2.06E-06
87-81,Sm-150,ENDF VII.1 + mod-Mughabghab,2.19E-04
87-81,Sm-151,ENDF VII.1 + mod-Mughabghab,8.39E-06
87-81,Sm-152,ENDF VII.1 + mod-Mughabghab,9.48E-05
87-81,Sm-154,ENDF VII.1 + mod-Mughabghab,2.74E-05
87-81,Eu-151,ENDF VII.1 + mod-Mughabghab,7.95E-07
87-81,Eu-152,ENDF VII.1 + mod-Mughabghab,9.70E-09
87-81,Eu-153,ENDF VII.1 + mod-Mughabghab,8.83E-05
87-81,Eu-154,ENDF VII.1 + mod-Mughabghab,6.22E-06
87-81,Eu-155,ENDF VII.1 + mod-Mughabghab,1.12E-06
87-81,Gd-154,ENDF VII.1 + mod-Mughabghab,1.18E-05
87-81,Gd-155,ENDF VII.1 + mod-Mughabghab,4.89E-06
87-81,Gd-156,ENDF VII.1 + mod-Mughabghab,5.09E-05
87-81,Gd-158,ENDF VII.1 + mod-Mughabghab,1.10E-05
87-81,Gd-160,ENDF VII.1 + mod-Mughabghab,7.60E-07
87-81,Tc-99,ENDF VII.1 + mod-Mughabghab,6.80E-04
87-81,Sr-90,ENDF VII.1 + mod-Mughabghab,3.91E-04
87-81,U-234,JEFF-3.2,1.81E-04
87-81,U-235,JEFF-3.2,9.56E-03
87-81,U-236,JEFF-3.2,3.62E-03
87-81,U-238,JEFF-3.2,9.51E-01
87-81,Pu-238,JEFF-3.2,1.13E-04
87-81,Pu-239,JEFF-3.2,4.88E-03
87-81,Pu-240,JEFF-3.2,1.94E-03
87-81,Pu-241,JEFF-3.2,7.46E-04
87-81,Pu-242,JEFF-3.2,3.17E-04
87-81,Np-237,JEFF-3.2,3.12E-04
87-81,Am-241,JEFF-3.2,2.69E-04
87-81,Cs-133,JEFF-3.2,9.63E-04
87-81,Cs-134,JEFF-3.2,1.10E-05
87-81,Cs-135,JEFF-3.2,4.27E-04
87-81,Cs-137,JEFF-3.2,8.57E-04
87-81,Nd-143,JEFF-3.2,6.95E-04
87-81,Nd-144,JEFF-3.2,1.05E-03
87-81,Nd-145,JEFF-3.2,5.73E-04
87-81,Nd-146,JEFF-3.2,5.53E-04
87-81,Nd-148,JEFF-3.2,3.01E-04
87-81,Nd-150,JEFF-3.2,1.43E-04
87-81,Sm-147,JEFF-3.2,2.45E-04
87-81,Sm-148,JEFF-3.2,9.82E-05
87-81,Sm-149,JEFF-3.2,2.06E-06
87-81,Sm-150,JEFF-3.2,2.19E-04
87-81,Sm-151,JEFF-3.2,8.39E-06
87-81,Sm-152,JEFF-3.2,9.48E-05
87-81,Sm-154,JEFF-3.2,2.74E-05
87-81,Eu-151,JEFF-3.2,7.95E-07
87-81,Eu-152,JEFF-3.2,9.70E-09
87-81,Eu-153,JEFF-3.2,8.83E-05
87-81,Eu-154,JEFF-3.2,6.53E-06
87-81,Eu-155,JEFF-3.2,1.10E-06
87-81,Gd-154,JEFF-3.2,1.24E-05
87-81,Gd-155,JEFF-3.2,4.80E-06
87-81,Gd-156,JEFF-3.2,5.01E-05
87-81,Gd-158,JEFF-3.2,1.10E-05
87-81,Gd-160,JEFF-3.2,7.60E-07
87-81,Tc-99,JEFF-3.2,6.80E-04
87-81,Sr-90,JEFF-3.2,3.91E-04
87-81,U-234,JEFF-3.2 + mod-Mughabghab,1.81E-04
87-81,U-235,JEFF-3.2 + mod-Mughabghab,9.56E-03
87-81,U-236,JEFF-3.2 + mod-Mughabghab,3.62E-03
87-81,U-238,JEFF-3.2 + mod-Mughabghab,9.51E-01
87-81,Pu-238,JEFF-3.2 + mod-Mughabghab,1.13E-04
87-81,Pu-239,JEFF-3.2 + mod-Mughabghab,4.88E-03
87-81,Pu-240,JEFF-3.2 + mod-Mughabghab,1.94E-03
87-81,Pu-241,JEFF-3.2 + mod-Mughabghab,7.46E-04
87-81,Pu-242,JEFF-3.2 + mod-Mughabghab,3.17E-04
87-81,Np-237,JEFF-3.2 + mod-Mughabghab,3.12E-04
87-81,Am-241,JEFF-3.2 + mod-Mughabghab,2.69E-04
87-81,Cs-133,JEFF-3.2 + mod-Mughabghab,9.63E-04
87-81,Cs-134,JEFF-3.2 + mod-Mughabghab,1.10E-05
87-81,Cs-135,JEFF-3.2 + mod-Mughabghab,4.27E-04
87-81,Cs-137,JEFF-3.2 + mod-Mughabghab,8.57E-04
87-81,Nd-143,JEFF-3.2 + mod-Mughabghab,6.95E-04
87-81,Nd-144,JEFF-3.2 + mod-Mughabghab,1.05E-03
87-81,Nd-145,JEFF-3.2 + mod-Mughabghab,5.73E-04
87-81,Nd-146,JEFF-3.2 + mod-Mughabghab,5.53E-04
87-81,Nd-148,JEFF-3.2 + mod-Mughabghab,3.01E-04
87-81,Nd-150,JEFF-3.2 + mod-Mughabghab,1.43E-04
87-81,Sm-147,JEFF-3.2 + mod-Mughabghab,2.45E-04
87-81,Sm-148,JEFF-3.2 + mod-Mughabghab,9.82E-05
87-81,Sm-149,JEFF-3.2 + mod-Mughabghab,2.06E-06
87-81,Sm-150,JEFF-3.2 + mod-Mughabghab,2.19E-04
87-81,Sm-151,JEFF-3.2 + mod-Mughabghab,8.39E-06
87-81,Sm-152,JEFF-3.2 + mod-Mughabghab,9.48E-05
87-81,Sm-154,JEFF-3.2 + mod-Mughabghab,2.74E-05
87-81,Eu-151,JEFF-3.2 + mod-Mughabghab,7.95E-07
87-81,Eu-152,JEFF-3.2 + mod-Mughabghab,9.70E-09
87-81,Eu-153,JEFF-3.2 + mod-Mughabghab,8.83E-05
87-81,Eu-154,JEFF-3.2 + mod-Mughabghab,6.20E-06
87-81,Eu-155,JEFF-3.2 + mod-Mughabghab,1.12E-06
87-81,Gd-154,JEFF-3.2 + mod-Mughabghab,1.18E-05
87-81,Gd-155,JEFF-3.2 + mod-Mughabghab,4.90E-06
87-81,Gd-156,JEFF-3.2 + mod-Mughabghab,5.09E-05
87-81,Gd-158,JEFF-3.2 + mod-Mughabghab,1.10E-05
87-81,Gd-160,JEFF-3.2 + mod-Mughabghab,7.60E-07
87-81,Tc-99,JEFF-3.2 + mod-Mughabghab,6.80E-04
87-81,Sr-90,JEFF-3.2 + mod-Mughabghab,3.91E-04
